Module,Reaction,url,KOs,Rule,Review comment,reaction_orthology,module_orthology,module_definition
M00011,R00432,https://www.genome.jp/dbget-bin/www_bget?rn:R00432,"K01899,K01900",K01899+K01900,reviewed by HBS,"{'K01899': 'succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]', 'K01900': 'succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]'}","{'K00164,K00658,K00382': '2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]', 'K00174': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00175': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00177': '2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]', 'K00176': '2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]', 'K01902,K01903': 'succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]', 'K01899,K01900': 'succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]', 'K18118': 'succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]', 'K00234,K00235,K00236,K00237': 'succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]', 'K00239,K00240,K00241,K00242,K18859,K18860': 'succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]', 'K00244,K00245,K00246,K00247': 'fumarate reductase [EC:1.3.5.4] [RN:R02164]', 'K01676,K01679,K01677+K01678': 'fumarate hydratase [EC:4.2.1.2] [RN:R01082]', 'K00026,K00025,K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]', 'K00116': 'malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]'}","(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"
M00012,R00473,https://www.genome.jp/dbget-bin/www_bget?rn:R00473,"K19282,K08691","K19282,K08691",reviewed by HBS,"{'K08691': 'malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]', 'K19282': 'bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]'}","{'K01647': 'citrate synthase [EC:2.3.3.1] [RN:R00351]', 'K01681,K01682': 'aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900]', 'K01637': 'isocitrate lyase [EC:4.1.3.1] [RN:R00479]', 'K01638': 'malate synthase [EC:2.3.3.9] [RN:R00472]', 'K19282': 'bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30] [RN:R00473 R10612]', 'K00026,K00025,K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]'}","K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)"
M00346,R00473,https://www.genome.jp/dbget-bin/www_bget?rn:R00473,"K19282,K08691","K19282,K08691",reviewed by HBS,"{'K08691': 'malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]', 'K19282': 'bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]'}","{'K00600': 'glycine hydroxymethyltransferase [EC:2.1.2.1] [RN:R00945]', 'K00830': 'serine--glyoxylate transaminase [EC:2.6.1.45] [RN:R00588]', 'K00018': 'glycerate dehydrogenase [EC:1.1.1.29] [RN:R01388]', 'K11529': 'glycerate 2-kinase [EC:2.7.1.165] [RN:R08572]', 'K01689': 'enolase [EC:4.2.1.11] [RN:R00658]', 'K01595': 'phosphoenolpyruvate carboxylase [EC:4.1.1.31] [RN:R00345]', 'K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]', 'K08692,K14067': 'malate-CoA ligase [EC:6.2.1.9] [RN:R01256]', 'K08691': 'malyl-CoA lyase [EC:4.1.3.24] [RN:R00473]'}",K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691
M00373,R00473,https://www.genome.jp/dbget-bin/www_bget?rn:R00473,"K19282,K08691","K19282,K08691",reviewed by HBS,"{'K08691': 'malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]', 'K19282': 'bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]'}","{'K00626': 'acetyl-CoA C-acetyltransferase [EC:2.3.1.9] [RN:R00238]', 'K00023': 'acetoacetyl-CoA reductase [EC:1.1.1.36] [RN:R01977]', 'K17865': '3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55] [RN:R03027]', 'K14446': 'crotonyl-CoA carboxylase/reductase [EC:1.3.1.85] [RN:R09291]', 'K14447': 'ethylmalonyl-CoA mutase [EC:5.4.99.63] [RN:R09292]', 'K14448': '(2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12] [RN:R09293]', 'K14449': '2-methylfumaryl-CoA hydratase [EC:4.2.1.148] [RN:R05076]', 'K08691': 'malyl-CoA lyase [EC:4.1.3.24] [RN:R00934 R00473]', 'K14451': '(3S)-malyl-CoA thioesterase [RN:R10612]', 'K01965+K01966': 'propionyl-CoA carboxylase [EC:6.4.1.3] [RN:R01859]', 'K05606': 'methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1] [RN:R02765 R09979]', 'K01847': 'methylmalonyl-CoA mutase [EC:5.4.99.2] [RN:R00833]'}",K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847
M00376,R00473,https://www.genome.jp/dbget-bin/www_bget?rn:R00473,"K19282,K08691","K19282,K08691",reviewed by HBS,"{'K08691': 'malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]', 'K19282': 'bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]'}","{'K01961,K01962,K01963': 'acetyl-CoA carboxylase carboxyl transferase [EC:6.4.1.2] [RN:R00742]', 'K02160': 'acetyl-CoA carboxylase biotin carboxyl carrier protein [RN:R00742]', 'K14468': 'malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298] [RN:R00740 R09289] ', 'K14469': 'acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36] [RN:R09286 R03045 R00919] ', 'K15052': 'propionyl-CoA carboxylase [EC:6.4.1.3] [RN:R01859] ', 'K05606': 'methylmalonyl-CoA epimerase [EC:5.1.99.1] [RN:R02765]', 'K01847,K01848,K01849': 'methylmalonyl-CoA mutase [EC:5.4.99.2] [RN:R00833]', 'K14471,K14472': 'succinyl-CoA:(S)-malate CoA transferase [EC:2.8.3.-] [RN:R00406]', 'K00239,K00240,K00241': 'succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]', 'K01679': 'fumarate hydratase [EC:4.2.1.2] [RN:R01082]', 'K08691': 'malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25] [RN:R00473 R00934 R00237]', 'K14449': '2-methylfumaryl-CoA hydratase [EC:4.2.1.148] [RN:R05076]', 'K14470': '2-methylfumaryl-CoA isomerase [EC:5.4.1.3] [RN:R09283]', 'K09709': '3-methylfumaryl-CoA hydratase [EC:4.2.1.153] [RN:R09282]'}","(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709"
M00740,R00473,https://www.genome.jp/dbget-bin/www_bget?rn:R00473,"K19282,K08691","K19282,K08691",reviewed by HBS,"{'K08691': 'malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]', 'K19282': 'bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]'}","{'K01647': 'citrate synthase [EC:2.3.3.1] [RN:R00351]', 'K01681': 'aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900]', 'K00031': 'isocitrate dehydrogenase [EC:1.1.1.42] [RN:R01899 R00268]', 'K00261': 'glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3] [RN:R00248]', 'K19268,K01846': 'methylaspartate mutase epsilon subunit [EC:5.4.99.1] [RN:R00262]', 'K04835': 'methylaspartate ammonia-lyase [EC:4.3.1.2] [RN:R03696]', 'K19280': 'succinyl-CoA:mesaconate CoA transferase [EC:2.8.3.26] [RN:R10904]', 'K14449': '2-methylfumaryl-CoA hydratase [EC:4.2.1.148] [RN:R05076]', 'K19281': 'beta-methylmalyl-CoA/(S)-malyl-CoA lyase [EC:4.1.3.24] [RN:R00934]', 'K19282': 'bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30] [RN:R00473 R10612]', 'K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]'}",K01647 K01681 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024
M00532,R00475,https://www.genome.jp/dbget-bin/www_bget?rn:R00475,"K11472,K11517,K11473,K00104","K00104+K11472+K11473,K11517","Reviewed by SM. glcD, E, F are needed for activity. https://doi.org/10.1128/jb.178.7.2051-2059.1996. K11517 is HAO from ","{'K00104': 'glycolate oxidase [EC:1.1.3.15]', 'K11472': 'glycolate oxidase FAD binding subunit', 'K11473': 'glycolate oxidase iron-sulfur subunit', 'K11517': '(S)-2-hydroxy-acid oxidase [EC:1.1.3.15]'}","{'K01601,K01602': 'ribulose-bisphosphate carboxylase [EC:4.1.1.39] [RN:R03140]', 'K19269': 'phosphoglycolate phosphatase [EC:3.1.3.18] [RN:R01334]', 'K11517': '(S)-2-hydroxy-acid oxidase [EC:1.1.3.15] [RN:R00475]', 'K03781': 'catalase [EC:1.11.1.6] [RN:R00009]', 'K14272': 'glutamate--glyoxylate aminotransferase [EC:2.6.1.4] [RN:R00372]', 'K00600': 'glycine hydroxymethyltransferase [EC:2.1.2.1] [RN:R00945]', 'K00830': 'serine-glyoxylate transaminase [EC:2.6.1.45] [RN:R00588]', 'K15893,K15919': 'hydroxypyruvate reductase [EC:1.1.1.29] [RN:R01388]', 'K15918': 'D-glycerate 3-kinase [EC:2.7.1.31] [RN:R01514]', 'K00281,K00605,K00382,K02437': 'glycine cleavage system [EC:1.4.1.27] [RN:R01221]'}","(K01601-K01602) K19269 K11517 K03781 K14272 K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437"
M00118,R00497,https://www.genome.jp/dbget-bin/www_bget?rn:R00497,"K21456,K01920","K21456,K01920",reviewed by HBS,"{'K01920': 'glutathione synthase [EC:6.3.2.3]', 'K21456': 'glutathione synthase [EC:6.3.2.3]'}","{'K11204+K11205,K01919': 'glutamate--cysteine ligase [EC:6.3.2.2] [RN:R00894]', 'K21456,K01920': 'glutathione synthase [EC:6.3.2.3] [RN:R00497]'}","(K11204+K11205,K01919) (K21456,K01920)"
M00176,R00509,https://www.genome.jp/dbget-bin/www_bget?rn:R00509,"K00860,K00955,K13811","K00860,K00955,K13811",reviewed by HBS,"{'K00860': 'adenylylsulfate kinase [EC:2.7.1.25]', 'K00955': 'bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]', 'K13811': ""3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]""}","{'K13811,K00958,K00955+K00957,K00956': 'sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]', 'K13811,K00860,K00955': 'adenylylsulfate kinase [EC:2.7.1.25] [RN:R00509]', 'K00390': 'phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [RN:R02021]', 'K00380+K00381': 'sulfite reductase (NADPH) [EC:1.8.1.2] [RN:R00858]', 'K00392': 'sulfite reductase (ferredoxin) [EC:1.8.7.1] [RN:R00859]'}","(K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)"
M00176,R00529,https://www.genome.jp/dbget-bin/www_bget?rn:R00529,"K13811,K00957,K00956,K00955,K00958","K13811,K00957+K00956,K00955,K00958",reviewed by HBS,"{'K00955': 'bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]', 'K00956': 'sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]', 'K00957': 'sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]', 'K00958': 'sulfate adenylyltransferase [EC:2.7.7.4]', 'K13811': ""3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]""}","{'K13811,K00958,K00955+K00957,K00956': 'sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]', 'K13811,K00860,K00955': 'adenylylsulfate kinase [EC:2.7.1.25] [RN:R00509]', 'K00390': 'phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [RN:R02021]', 'K00380+K00381': 'sulfite reductase (NADPH) [EC:1.8.1.2] [RN:R00858]', 'K00392': 'sulfite reductase (ferredoxin) [EC:1.8.7.1] [RN:R00859]'}","(K13811,K00958+K00860,K00955+K00957,K00956+K00957+K00860) K00390 (K00380+K00381,K00392)"
M00596,R00529,https://www.genome.jp/dbget-bin/www_bget?rn:R00529,"K13811,K00957,K00956,K00955,K00958","K13811,K00957+K00956,K00955,K00958",reviewed by HBS,"{'K00955': 'bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]', 'K00956': 'sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]', 'K00957': 'sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]', 'K00958': 'sulfate adenylyltransferase [EC:2.7.7.4]', 'K13811': ""3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]""}","{'K00958': 'sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]', 'K00394,K00395': 'adenylylsulfate reductase [EC:1.8.99.2] [RN:R08553]', 'K11180,K11181': 'sulfite reductase, dissimilatory-type [EC:1.8.99.5] [RN:R00861]'}",K00958 (K00394+K00395) (K11180+K11181)
M00051,R00575,https://www.genome.jp/dbget-bin/www_bget?rn:R00575,"K01954,K11540,K01956,K01955,K11541","K01954,K11540,K01956+K01955,K11541",reviewed by HBS,"{'K01954': 'carbamoyl-phosphate synthase [EC:6.3.5.5]', 'K01955': 'carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]', 'K01956': 'carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]', 'K11540': 'carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]', 'K11541': 'carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2]'}","{'K11540,K11541,K01954,K01955+K01956': 'carbamoyl-phosphate synthase [EC:6.3.5.5] [RN:R00575]', 'K11540,K11541,K00609+K00610,K00608': 'aspartate carbamoyltransferase [EC:2.1.3.2] [RN:R01397]', 'K11540,K01465': 'dihydroorotase [EC:3.5.2.3] [RN:R01993]', 'K00226': 'dihydroorotate dehydrogenase [EC:1.3.98.1] [RN:R01867]', 'K00254': 'dihydroorotate dehydrogenase [EC:1.3.5.2] [RN:R01868]', 'K17828': 'dihydroorotate dehydrogenase [EC:1.3.1.14] [RN:R01869]', 'K13421,K00762': 'orotate phosphoribosyltransferase [EC:2.4.2.10] [RN:R01870]', 'K13421,K01591': ""orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] [RN:R00965]""}","(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)"
M00009,R00621,https://www.genome.jp/dbget-bin/www_bget?rn:R00621,"K00164,K01616","K00164,K01616",reviewed by HBS,"{'K00164': '2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]', 'K01616': 'multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]'}","{'K01647': 'citrate synthase [EC:2.3.3.1] [RN:R00351]', 'K05942': 'citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]', 'K01681,K01682': 'aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]', 'K00031,K00030': 'isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]', 'K00164,K01616,K00658,K00382': '2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]', 'K00174': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00175': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00177': '2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]', 'K00176': '2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]', 'K01902,K01903': 'succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]', 'K01899,K01900': 'succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]', 'K18118': 'succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]', 'K00234,K00235,K00236,K00237': 'succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]', 'K00239,K00240,K00241,K00242,K18859,K18860': 'succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]', 'K00244,K00245,K00246,K00247': 'fumarate reductase [EC:1.3.5.4] [RN:R02164]', 'K01676,K01679,K01677,K01678': 'fumarate hydratase [EC:4.2.1.2] [RN:R01082]', 'K00026,K00025,K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]', 'K00116': 'malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]'}","(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"
M00011,R00621,https://www.genome.jp/dbget-bin/www_bget?rn:R00621,"K00164,K01616","K00164,K01616",reviewed by HBS,"{'K00164': '2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]', 'K01616': 'multifunctional 2-oxoglutarate metabolism enzyme [EC:2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61]'}","{'K00164,K00658,K00382': '2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]', 'K00174': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00175': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00177': '2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]', 'K00176': '2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]', 'K01902,K01903': 'succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]', 'K01899,K01900': 'succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]', 'K18118': 'succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]', 'K00234,K00235,K00236,K00237': 'succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]', 'K00239,K00240,K00241,K00242,K18859,K18860': 'succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]', 'K00244,K00245,K00246,K00247': 'fumarate reductase [EC:1.3.5.4] [RN:R02164]', 'K01676,K01679,K01677+K01678': 'fumarate hydratase [EC:4.2.1.2] [RN:R01082]', 'K00026,K00025,K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]', 'K00116': 'malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]'}","(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"
M00009,R00709,https://www.genome.jp/dbget-bin/www_bget?rn:R00709,"K00030,K17753","K00030,K17753",reviewed by HBS,"{'K00030': 'isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]', 'K17753': 'isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]'}","{'K01647': 'citrate synthase [EC:2.3.3.1] [RN:R00351]', 'K05942': 'citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]', 'K01681,K01682': 'aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]', 'K00031,K00030': 'isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]', 'K00164,K01616,K00658,K00382': '2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]', 'K00174': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00175': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00177': '2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]', 'K00176': '2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]', 'K01902,K01903': 'succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]', 'K01899,K01900': 'succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]', 'K18118': 'succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]', 'K00234,K00235,K00236,K00237': 'succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]', 'K00239,K00240,K00241,K00242,K18859,K18860': 'succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]', 'K00244,K00245,K00246,K00247': 'fumarate reductase [EC:1.3.5.4] [RN:R02164]', 'K01676,K01679,K01677,K01678': 'fumarate hydratase [EC:4.2.1.2] [RN:R01082]', 'K00026,K00025,K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]', 'K00116': 'malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]'}","(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"
M00010,R00709,https://www.genome.jp/dbget-bin/www_bget?rn:R00709,"K00030,K17753","K00030,K17753",reviewed by HBS,"{'K00030': 'isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]', 'K17753': 'isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]'}","{'K01647': 'citrate synthase [EC:2.3.3.1] [RN:R00351]', 'K05942': 'citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]', 'K01681,K01682': 'aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]', 'K00031,K00030': 'isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]'}","(K01647,K05942) (K01681,K01682) (K00031,K00030)"
M00009,R00727,https://www.genome.jp/dbget-bin/www_bget?rn:R00727,"K01899,K01900",K01899+K01900,reviewed by HBS,"{'K01899': 'succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]', 'K01900': 'succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]'}","{'K01647': 'citrate synthase [EC:2.3.3.1] [RN:R00351]', 'K05942': 'citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]', 'K01681,K01682': 'aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]', 'K00031,K00030': 'isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]', 'K00164,K01616,K00658,K00382': '2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]', 'K00174': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00175': '2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]', 'K00177': '2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]', 'K00176': '2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]', 'K01902,K01903': 'succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]', 'K01899,K01900': 'succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]', 'K18118': 'succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]', 'K00234,K00235,K00236,K00237': 'succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]', 'K00239,K00240,K00241,K00242,K18859,K18860': 'succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]', 'K00244,K00245,K00246,K00247': 'fumarate reductase [EC:1.3.5.4] [RN:R02164]', 'K01676,K01679,K01677,K01678': 'fumarate hydratase [EC:4.2.1.2] [RN:R01082]', 'K00026,K00025,K00024': 'malate dehydrogenase [EC:1.1.1.37] [RN:R00342]', 'K00116': 'malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]'}","(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"
