ec,rn,url,ko_list,num_ecs,num_kos,rule,notes
1.1.1.213;1.1.1.357;1.1.1.50,R10423,https://www.genome.jp/entry/R10423,"K00089,K04119,K00037,K00212,K19811",3,5,"K00089,K04119,K00037,K00212,K19811",annotated by HBS
1.1.1.215,R08879,https://www.genome.jp/entry/R08879,"K00090,K22229",1,2,"K00090,K22229",annotated by HBS
1.1.1.215,R08880,https://www.genome.jp/entry/R08880,"K00090,K22229",1,2,"K00090,K22229",annotated by HBS
1.1.1.219,R11500,https://www.genome.jp/entry/R11500,"K00091,K13082",1,2,"K00091,K13082",annotated by HBS
1.1.1.264;1.1.1.366,R05683,https://www.genome.jp/entry/R05683,"K00098,K19635",2,2,"K00091,K13082",annotated by HBS
1.1.1.270,R12402,https://www.genome.jp/entry/R12402,"K09827,K13373,K22970",1,3,"K09827,K13373,K22970",annotated by HBS
1.1.1.270,R12401,https://www.genome.jp/entry/R12401,"K09827,K13373,K22970",1,3,"K09827,K13373,K22970",annotated by HBS
1.1.1.270,R12400,https://www.genome.jp/entry/R12400,"K09827,K13373,K22970",1,3,"K09827,K13373,K22970",annotated by HBS
1.1.1.270,R12399,https://www.genome.jp/entry/R12399,"K09827,K13373,K22970",1,3,"K09827,K13373,K22970",annotated by HBS
1.1.1.270,R05691,https://www.genome.jp/entry/R05691,"K09827,K13373,K22970",1,3,"K09827,K13373,K22970",annotated by HBS
1.1.1.31,R02047,https://www.genome.jp/entry/R02047,"K00020,K23146",1,2,"K00020,K23146",annotated by HBS
1.1.3.15,R01341,https://www.genome.jp/entry/R01341,"K00104,K11517",1,2,"K00104,K11517",annotated by HBS
1.1.5.3,R00849,https://www.genome.jp/entry/R00849,"K00111,K00112",1,2,K00111,Reviewed by LML; Usually a homo-dimer; K00112 not mapped to X-group
1.1.5.3,R08657,https://www.genome.jp/entry/R08657,"K00111,K00112",1,2,K00111,Reviewed by LML; Usually a homo-dimer; K00112 not mapped to X-group
1.1.98.4,R10572,https://www.genome.jp/entry/R10572,"K22171,K22172,K22173,K22174,K22175,K22176,K22177,K22178,K22179,K22180,K22181",1,11,K22171+K22172+K22173+K22174+K22175+K22176+K22177+K22178+K22179+K22180+K22181,Reviewed by JG
1.1.99.11,R00873,https://www.genome.jp/entry/R00873,"K23273,K23274",1,2,K23273+K23274,Reviewed by JG
1.1.99.3,R01742,https://www.genome.jp/entry/R01742,"K06151,K06152",1,2,K06151+K06152,"Reviewed by LML; K06152 not mapped to an X-group, though; a heterotrimer: https://www.uniprot.org/uniprot/O34215"
1.10.3.1;1.14.18.1,R00058,https://www.genome.jp/entry/R00058,"K00422,K00505",2,2,"K00422,K00505",Reviewed by LML
1.10.3.2,R00083,https://www.genome.jp/entry/R00083,"K00421,K05909",1,2,"K00421,K05909",Reviewed by JG
1.10.3.4,R08762,https://www.genome.jp/entry/R08762,"K20204,K20219",1,2,"K20204,K20219",Reviewed by LML
1.10.3.9,R09503,https://www.genome.jp/entry/R09503,"K02703,K02706",1,2,K02703+K02706,Reviewed by JG
1.11.1.10,R00052,https://www.genome.jp/entry/R00052,"K00433,K17990",1,2,"K00433,K17990",Reviewed by JG
1.11.1.21;1.11.1.7,R03532,https://www.genome.jp/entry/R03532,"K03782,K00430,K10788,K11188,K12550,K19511,K21201",2,7,"K03782,K00430,K10788,K11188,K12550,K19511,K21201",Reviewed by LML
1.11.1.24,R12570,https://www.genome.jp/entry/R12570,"K03386,K03564,K11065,K11187,K13279,K14171,K20011,K23856,K24157,K24158",1,10,"K03386,K03564,K11065,K11187,K13279,K14171,K20011,K23856,K24157,K24158",Reviewed by JG
1.11.1.25,R12571,https://www.genome.jp/entry/R12571,"K20011,K24129,K24130,K24137,K24138,K24140",1,6,"K20011,K24129,K24130,K24137,K24138,K24140",Reviewed by JG
1.11.1.28,R12602,https://www.genome.jp/entry/R12602,"K04063,K04756,K24126",1,3,"K04063,K04756+K24126",Reviewed by LML
1.11.1.28,R12603,https://www.genome.jp/entry/R12603,"K04063,K04756,K24126",1,3,"K04063,K04756+K24126",Reviewed by LML
1.12.1.3;1.12.1.5,R07181,https://www.genome.jp/entry/R07181,"K17992,K17993,K17994,K18330,K18331,K18332",2,6,"K17992+K18330+K18331+K18332,K17993+K17994","Reviewed by JG; K17993,K17994 have hydrogenase acrivity"
1.12.1.4,R09508,https://www.genome.jp/entry/R09508,"K17997,K17998,K17999",1,3,K17997+K17998+K17999,Reviewed by JG
1.12.2.1,R04015,https://www.genome.jp/entry/R04015,"K00437,K18008",1,2,K00437+K18008,Reviewed by JG
1.12.5.1,R02965,https://www.genome.jp/entry/R02965,"K05922,K05927",1,2,K05922+K05927,Reviewed by JG
1.12.99.6,R07182,https://www.genome.jp/entry/R07182,"K06281,K06282,K23548,K23549",1,4,"K06281+K06282,K23548+K23549",Reviewed by JG
1.12.99.6;1.2.7.1;1.2.7.4,R08034,https://www.genome.jp/entry/R08034,"K06281,K06282,K23548,K23549,K00169,K00170,K00171,K00172,K00189,K03737,K00192,K00198",3,12,NA,Unbalanced Reaction; consider removing
1.13.11.24,R02156,https://www.genome.jp/entry/R02156,"K06911,K07155",1,2,"K06911,K07155",Reviewed by JG
1.14.11.27;1.14.11.65;1.14.11.66;1.14.11.67;1.14.11.68;1.14.11.69,R09510,https://www.genome.jp/entry/R09510,"K10276,K16914,K24444,K00478,K11445,K15601,K19415,K06709,K11446,K11447,K11448,K23742,K19799",6,13,"K10276,K16914,K24444,K00478,K11445,K15601,K19415,K06709,K11446,K11447,K11448,K23742,K19799",Reviewed by JG; histone lysine demethylases
1.14.11.27;1.14.11.65;1.14.11.67,R09511,https://www.genome.jp/entry/R09511,"K10276,K16914,K24444,K00478,K11445,K15601,K19415,K11446",3,8,"K10276,K16914,K24444,K00478,K11445,K15601,K19415,K11446",Reviewed by JG; histone lysine demethylases
1.14.11.51,R11345,https://www.genome.jp/entry/R11345,"K10765,K10766",1,2,"K10765,K10766",Reviewed by JG
1.14.11.6,R08610,https://www.genome.jp/entry/R08610,"K22406,K22407",1,2,"K22406,K22407",Reviewed by JG
1.14.11.6,R08611,https://www.genome.jp/entry/R08611,"K22406,K22407",1,2,"K22406,K22407",Reviewed by JG
1.14.11.6,R01412,https://www.genome.jp/entry/R01412,"K22406,K22407",1,2,"K22406,K22407",Reviewed by JG
1.14.11.66;1.14.11.67;1.14.11.68;1.14.11.69,R12460,https://www.genome.jp/entry/R12460,"K06709,K11446,K11447,K11448,K23742,K19799",4,6,"K06709,K11446,K11447,K11448,K23742,K19799",Reviewed by JG; lysine demythlase paralogs
1.14.11.66;1.14.11.68;1.14.11.69,R12459,https://www.genome.jp/entry/R12459,"K06709,K11447,K11448,K23742,K19799",3,5,"K06709,K11447,K11448,K23742,K19799",Reviewed by JG; lysine demythlase paralogs
1.14.11.7,R03218,https://www.genome.jp/entry/R03218,"K08134,K22459,K22460",1,3,"K08134,K22459,K22460",Reviewed by JG
1.14.12.10,R07188,https://www.genome.jp/entry/R07188,"K05549,K05550",1,2,K05549+K05550,Reviewed by LML
1.14.13.238,R11805,https://www.genome.jp/entry/R11805,"K22342,K22343,K22344",1,3,K22342+K22343+K22344,Reviewed by JG
1.14.13.239,R11875,https://www.genome.jp/entry/R11875,"K22443,K22444",1,2,K22443+K22444,Reviewed by JG
1.14.13.239,R11911,https://www.genome.jp/entry/R11911,"K22443,K22444",1,2,K22443+K22444,Reviewed by JG
1.14.13.25,R01143,https://www.genome.jp/entry/R01143,"K16157,K16158,K16159,K16161",1,4,K16157+K16158+K16159+K16161,Reviewed by JG
1.14.13.25,R02823,https://www.genome.jp/entry/R02823,"K16157,K16158,K16159,K16161",1,4,K16157+K16158+K16159+K16161,Reviewed by JG
1.14.13.25,R09141,https://www.genome.jp/entry/R09141,"K16157,K16158,K16159,K16161",1,4,K16157+K16158+K16159+K16161,Reviewed by JG
1.14.13.25,R09148,https://www.genome.jp/entry/R09148,"K16157,K16158,K16159,K16161",1,4,K16157+K16158+K16159+K16161,Reviewed by JG
1.14.13.69,R05729,https://www.genome.jp/entry/R05729,"K22353,K22354,K22357,K22358,K22359",1,5,"K22353+K22354,K22357+K22358+K22359",Reviewed by JG
1.14.13.69,R05730,https://www.genome.jp/entry/R05730,"K22353,K22354,K22357,K22358,K22359",1,5,"K22353+K22354,K22357+K22358+K22359",Reviewed by JG
1.14.13.69,R07194,https://www.genome.jp/entry/R07194,"K22353,K22354,K22357,K22358,K22359",1,5,"K22353+K22354,K22357+K22358+K22359",Reviewed by JG
1.14.14.1,R08265,https://www.genome.jp/entry/R08265,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",1,27,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",Reviewed by JG
1.14.14.1,R04122,https://www.genome.jp/entry/R04122,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",1,27,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",Reviewed by JG
1.14.14.1,R02503,https://www.genome.jp/entry/R02503,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",1,27,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",Reviewed by JG
1.14.14.1,R01842,https://www.genome.jp/entry/R01842,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",1,27,"K00490,K07408,K07409,K07410,K07411,K07412,K07413,K07414,K07416,K07418,K07420,K07424,K07426,K07428,K07429,K14338,K17685,K17687,K17690,K17691,K17692,K17712,K17718,K17720,K17728,K17729,K17730",Reviewed by JG
1.14.14.156,R09583,https://www.genome.jp/entry/R09583,"K11812,K11813",1,2,"K11812,K11813",Reviewed by JG
1.14.14.156,R09584,https://www.genome.jp/entry/R09584,"K11812,K11813",1,2,"K11812,K11813",Reviewed by JG
1.14.14.156,R09585,https://www.genome.jp/entry/R09585,"K11812,K11813",1,2,"K11812,K11813",Reviewed by JG
1.14.14.162,R12218,https://www.genome.jp/entry/R12218,"K13406,K23135",1,2,"K13406,K23135",Reviewed by JG
1.14.14.168,R12266,https://www.genome.jp/entry/R12266,"K20767,K23177",1,2,"K20767,K23177",Reviewed by JG
1.14.14.173,R12627,https://www.genome.jp/entry/R12627,"K15246,K24293",1,2,"K15246,K24293",Reviewed by JG
1.14.14.22;1.14.99.46,R12756,https://www.genome.jp/entry/R12756,"K22220,K09018",2,2,"K22220,K09018",Reviewed by JG
1.14.14.42,R11646,https://www.genome.jp/entry/R11646,"K12154,K12155",1,2,"K12154,K12155",Reviewed by JG
1.14.14.42,R11647,https://www.genome.jp/entry/R11647,"K12154,K12155",1,2,"K12154,K12155",Reviewed by JG
1.14.14.42,R11648,https://www.genome.jp/entry/R11648,"K12154,K12155",1,2,"K12154,K12155",Reviewed by JG
1.14.14.42,R11649,https://www.genome.jp/entry/R11649,"K12154,K12155",1,2,"K12154,K12155",Reviewed by JG
1.14.14.53,R06119,https://www.genome.jp/entry/R06119,"K17719,K17721",1,2,"K17719,K17721",Reviewed by JG
1.14.14.57,R07205,https://www.genome.jp/entry/R07205,"K17689,K18228",1,2,"K17689,K18228",Reviewed by JG
1.14.14.57,R07206,https://www.genome.jp/entry/R07206,"K17689,K18228",1,2,"K17689,K18228",Reviewed by JG
1.14.14.59,R11949,https://www.genome.jp/entry/R11949,"K17961,K22639",1,2,"K17961,K22639",Reviewed by JG
1.14.14.73,R12068,https://www.genome.jp/entry/R12068,"K07418,K17689",1,2,"K07418,K17689",Reviewed by JG
1.14.14.73,R12069,https://www.genome.jp/entry/R12069,"K07418,K17689",1,2,"K07418,K17689",Reviewed by JG
1.14.14.75,R12071,https://www.genome.jp/entry/R12071,"K07418,K17721",1,2,"K07418,K17721",Reviewed by JG
1.14.14.78,R10728,https://www.genome.jp/entry/R10728,"K17726,K17729",1,2,"K17726,K17729",Reviewed by JG
1.14.14.79,R10795,https://www.genome.jp/entry/R10795,"K07427,K17726",1,2,"K07427,K17726",Reviewed by JG
1.14.14.80,R12072,https://www.genome.jp/entry/R12072,"K07422,K07425,K15401,K20495,K22887",1,5,"K07422,K07425,K15401,K20495,K22887",Reviewed by JG
1.14.15.15,R03507,https://www.genome.jp/entry/R03507,"K00488,K22878",1,2,"K00488,K22878",Reviewed by JG
1.14.15.38,R12673,https://www.genome.jp/entry/R12673,"K24702,K24703",1,2,K24702+K24703,Reviewed by JG
1.14.15.4,R02726,https://www.genome.jp/entry/R02726,"K00497,K07433",1,2,"K00497,K07433",Reviewed by JG
1.14.17.3,R03912,https://www.genome.jp/entry/R03912,"K00504,K24006",1,2,"K00504,K24006",Reviewed by JG
1.14.19.76,R12276,https://www.genome.jp/entry/R12276,"K23179,K23180",1,2,"K23179,K23180",Reviewed by JG
1.14.99.1,R01599,https://www.genome.jp/entry/R01599,"K00509,K11987",1,2,"K00509,K11987",Reviewed by JG
1.14.99.56,R11747,https://www.genome.jp/entry/R11747,"K22032,K22033",1,2,"K22032,K22033",Reviewed by JG
1.15.1.1,R00275,https://www.genome.jp/entry/R00275,"K00518,K04564,K04565,K16627",1,4,"K00518,K04564,K04565,K16627",Reviewed by JG
1.16.3.3,R11881,https://www.genome.jp/entry/R11881,"K06324,K22348,K22349,K22350",1,4,"K06324,K22348,K22349,K22350",Reviewed by JG
1.16.3.3,R11882,https://www.genome.jp/entry/R11882,"K06324,K22348,K22349,K22350",1,4,"K06324,K22348,K22349,K22350",Reviewed by JG
1.16.3.3,R11880,https://www.genome.jp/entry/R11880,"K06324,K22348,K22349,K22350",1,4,"K06324,K22348,K22349,K22350",Reviewed by JG
1.17.1.11,R11818,https://www.genome.jp/entry/R11818,"K22338,K22339,K22340,K22341",1,4,K22338+K22339+K22340+K22341,Reviewed by JG
1.17.4.1,R04294,https://www.genome.jp/entry/R04294,"K00525,K00526,K10807,K10808,K12970,K19448",1,6,"K00525+K00526,K10807+K10808",Reviewed by LML; removed viral options becuase they (1) appear to be missing the small chain and (2) uniprot says that M45 does not have ribonucleotide reductase activity and (3) all 'large domains' appear to have the same composition anyway.
1.17.9.2,R12653,https://www.genome.jp/entry/R12653,"K24452,K24453",1,2,"K24452,K24453",Reviewed by JG
1.17.99.10,R12677,https://www.genome.jp/entry/R12677,"K24713,K24714",1,2,K24713+K24714,Reviewed by JG
1.17.99.11,R12678,https://www.genome.jp/entry/R12678,"K24716,K24717,K24718",1,3,K24716+K24717+K24718,Reviewed by JG
1.17.99.11,R12679,https://www.genome.jp/entry/R12679,"K24716,K24717,K24718",1,3,K24716+K24717+K24718,Reviewed by JG
1.17.99.11,R12680,https://www.genome.jp/entry/R12680,"K24716,K24717,K24718",1,3,K24716+K24717+K24718,Reviewed by JG
1.18.1.2,R01195,https://www.genome.jp/entry/R01195,"K00528,K02641,K21567",1,3,"K00528,K02641,K21567",Reviewed by JG
1.18.1.3;1.18.1.7,R05875,https://www.genome.jp/entry/R05875,"K00529,K15758,K15765,K18088,K18090,K18227,K18254,K18293,K20809,K22362,K14581",2,11,"K00529,K15758,K15765,K18088,K18090,K18227,K18254,K18293,K20809,K22362,K14581",Reviewed by JG; only  e- transfer components here
1.18.6.1,R00002,https://www.genome.jp/entry/R00002,"K00531,K02586,K02591",1,3,K00531+K02586+K02591,Reviewed by JG
1.18.6.1,R00067,https://www.genome.jp/entry/R00067,"K00531,K02586,K02591",1,3,K00531+K02586+K02591,Reviewed by JG
1.18.6.1,R00153,https://www.genome.jp/entry/R00153,"K00531,K02586,K02591",1,3,K00531+K02586+K02591,Reviewed by JG
1.18.6.1,R02802,https://www.genome.jp/entry/R02802,"K00531,K02586,K02591",1,3,K00531+K02586+K02591,Reviewed by JG
1.18.6.1,R04782,https://www.genome.jp/entry/R04782,"K00531,K02586,K02591",1,3,K00531+K02586+K02591,Reviewed by JG
1.19.1.1,R11485,https://www.genome.jp/entry/R11485,"K00528,K21567",1,2,"K00528,K21567",Reviewed by JG
1.2.1.3;1.2.1.5,R00538,https://www.genome.jp/entry/R00538,"K00128,K00149,K14085,K00129",2,4,"K00128,K00149,K14085,K00129",Reviewed by JG
1.2.1.4;1.2.1.5,R00634,https://www.genome.jp/entry/R00634,"K14519,K00129",2,2,"K14519,K00129",Reviewed by JG
1.2.7.10,R09486,https://www.genome.jp/entry/R09486,"K19070,K19071,K19072",1,3,K19070+K19071+K19072,Reviewed by JG
1.2.7.11,R10516,https://www.genome.jp/entry/R10516,"K00174,K00175",1,2,K00174+K00175,Reviewed by JG
1.2.7.4;2.3.1.169,R09317,https://www.genome.jp/entry/R09317,"K00192,K00198,K00193,K14138",2,4,K00195+K00192+K00198+K00193+K14138,"Reviewed by JG; K00195 not included in EC mapping, but is important to for Step1"
1.2.7.8,R07161,https://www.genome.jp/entry/R07161,"K00179,K00180,K04090",1,3,"K00179+K00180,K04090",Reviewed by JG
1.2.99.10,R11913,https://www.genome.jp/entry/R11913,"K22445,K25072",1,2,"K22445,K25072",Reviewed by JG
1.20.2.1;1.20.9.1,R09787,https://www.genome.jp/entry/R09787,"K08355,K08356",2,2,K08355+K08356,Reviewed by JG
1.20.4.1,R05747,https://www.genome.jp/entry/R05747,"K00537,K18065,K22547",1,3,"K00537,K18065,K22547",Reviewed by JG; K18065 is dubious...
1.20.4.4,R10927,https://www.genome.jp/entry/R10927,"K03741,K23988",1,2,"K03741,K23988",Reviewed by JG
1.20.9.1,R05751,https://www.genome.jp/entry/R05751,"K08355,K08356",1,2,K08355+K08356,Reviewed by JG
1.21.4.2,R07226,https://www.genome.jp/entry/R07226,"K10670,K10671,K10672,K21576,K21577",1,5,K10670+K10671+K10672+K21576+K21577,"Reviewed by JG; 3 Components, component B has two subunits"
1.21.4.3,R07227,https://www.genome.jp/entry/R07227,"K10670,K21576,K21577,K21583,K21584",1,5,K10670+K21576+K21577+K21583+K21584,Reviewed by JG
1.21.4.4,R07228,https://www.genome.jp/entry/R07228,"K10670,K21576,K21577,K21578,K21579",1,5,K10670+K21576+K21577+K21578+K21579,Reviewed by JG
1.21.99.4,R03734,https://www.genome.jp/entry/R03734,"K01562,K17904",1,2,"K01562,K17904",Reviewed by JG
1.3.1.102;1.3.1.74,R07350,https://www.genome.jp/entry/R07350,"K19825,K08070,K13948",2,3,"K19825,K08070,K13948",Reviewed by JG
1.3.1.108,R11674,https://www.genome.jp/entry/R11674,"K22430,K22431,K22432",1,3,K22430+K22431+K22432,Reviewed by JG
1.3.1.124,R12630,https://www.genome.jp/entry/R12630,"K13236,K13237",1,2,"K13236,K13237",Reviewed by JG
1.3.1.124,R12629,https://www.genome.jp/entry/R12629,"K13236,K13237",1,2,"K13236,K13237",Reviewed by JG
1.3.1.20,R00814,https://www.genome.jp/entry/R00814,"K00078,K00212",1,2,"K00078,K00212",Reviewed by JG
1.3.1.22,R02610,https://www.genome.jp/entry/R02610,"K09591,K12343,K12344,K12345",1,4,"K09591,K12343,K12344,K12345",Reviewed by JG
1.3.1.22,R02892,https://www.genome.jp/entry/R02892,"K09591,K12343,K12344,K12345",1,4,"K09591,K12343,K12344,K12345",Reviewed by JG
1.3.1.3,R02609,https://www.genome.jp/entry/R02609,"K00251,K22419",1,2,"K00251,K22419",Reviewed by JG
1.3.1.3,R03850,https://www.genome.jp/entry/R03850,"K00251,K22419",1,2,"K00251,K22419",Reviewed by JG
1.3.1.48,R04556,https://www.genome.jp/entry/R04556,"K07119,K13948,K13949",1,3,"K07119,K13948,K13949",Reviewed by JG
1.3.1.48,R04557,https://www.genome.jp/entry/R04557,"K07119,K13948,K13949",1,3,"K07119,K13948,K13949",Reviewed by JG
1.3.1.74,R07349,https://www.genome.jp/entry/R07349,"K08070,K13948",1,2,"K08070,K13948",Reviewed by JG
1.3.7.14,R11531,https://www.genome.jp/entry/R11531,"K11333,K11334,K11335",1,3,K11333+K11334+K11335,Reviewed by JG
1.3.7.8,R00283,https://www.genome.jp/entry/R00283,"K04112,K04113,K04114,K04115",1,4,K04112+K04113+K04114+K04115,Reviewed by JG
1.3.8.5,R03169,https://www.genome.jp/entry/R03169,"K09478,K11410",1,2,"K09478,K11410",Reviewed by JG
1.3.8.7;1.3.8.8,R00392,https://www.genome.jp/entry/R00392,"K00249,K00255",2,2,"K00249,K00255",Reviewed by JG
1.3.98.5,R12454,https://www.genome.jp/entry/R12454,"K00435,K25033",1,2,"K00435,K25033",Reviewed by JG
1.3.98.5,R12455,https://www.genome.jp/entry/R12455,"K00435,K25033",1,2,"K00435,K25033",Reviewed by JG
1.3.99.16,R05151,https://www.genome.jp/entry/R05151,"K07302,K07303",1,2,K07302+K07303,Reviewed by JG
1.3.99.40,R12116,https://www.genome.jp/entry/R12116,"K09879,K25074",1,2,"K09879,K25074",Reviewed by JG
1.4.1.1;1.4.1.10,R00365,https://www.genome.jp/entry/R00365,"K00259,K19244",2,2,"K00259,K19244",Reviewed by JG
1.4.1.1;1.4.1.10;1.4.1.12;1.4.1.15;1.4.1.19;1.4.1.2;1.4.1.20;1.4.1.3;1.4.1.4;1.4.1.5;1.4.1.7;1.4.1.8;1.4.1.9,R00145,https://www.genome.jp/entry/R00145,"K00259,K19244,K21672,K00260,K15371,K00270,K00261,K00262,K00263",13,9,"K00259,K19244,K21672,K00260,K15371,K00270,K00261,K00262,K00263",Reviewed by JG
1.4.1.1;1.4.1.10;1.4.1.12;1.4.1.15;1.4.1.19;1.4.1.2;1.4.1.20;1.4.1.3;1.4.1.4;1.4.1.5;1.4.1.7;1.4.1.8;1.4.1.9,R00146,https://www.genome.jp/entry/R00146,"K00259,K19244,K21672,K00260,K15371,K00270,K00261,K00262,K00263",13,9,"K00259,K19244,K21672,K00260,K15371,K00270,K00261,K00262,K00263",Reviewed by JG
1.4.3.1;1.4.3.11;1.4.3.2;1.4.3.3;1.4.3.7,R06124,https://www.genome.jp/entry/R06124,"K00272,K03334,K00273",5,3,"K00272,K03334,K00273",Reviewed by JG
1.4.3.19;1.4.3.3,R05861,https://www.genome.jp/entry/R05861,"K03153,K00273",2,2,"K03153,K00273",Reviewed by JG
1.5.1.34,R07354,https://www.genome.jp/entry/R07354,"K00357,K10679",1,2,"K00357,K10679",Reviewed by JG
1.5.1.34,R07355,https://www.genome.jp/entry/R07355,"K00357,K10679",1,2,"K00357,K10679",Reviewed by JG
1.5.1.36,R09662,https://www.genome.jp/entry/R09662,"K00484,K21297,K22393,K22394,K23462,K23470",1,6,"K00484,K05368,K13562,K14631,K19286,K20146,K22393,K23470",Reviewed by JG; copied R05705
1.5.98.3,R11874,https://www.genome.jp/entry/R11874,"K22158,K22159,K22160,K22161,K22162,K22163,K22164,K22165,K22166,K22167,K22168,K22169,K22170",1,13,K22158+K22159+K22160+K22161+K22162+K22163+K22164+K22165+K22166+K22167+K22168+K22169+K22170,Reviewed by JG
1.6.2.4,R00106,https://www.genome.jp/entry/R00106,"K00327,K14338",1,2,"K00327,K14338",Reviewed by JG
1.6.2.4,R05102,https://www.genome.jp/entry/R05102,"K00327,K14338",1,2,"K00327,K14338",Reviewed by JG
1.6.2.4,R08539,https://www.genome.jp/entry/R08539,"K00327,K14338",1,2,"K00327,K14338",Reviewed by JG
1.6.2.4,R08551,https://www.genome.jp/entry/R08551,"K00327,K14338",1,2,"K00327,K14338",Reviewed by JG
1.6.3.1;1.6.3.3,R07171,https://www.genome.jp/entry/R07171,"K13411,K17870",2,2,"K13411,K17870",Reviewed by JG
1.6.3.2;1.6.3.4,R10517,https://www.genome.jp/entry/R10517,"K17869,K22405",2,2,"K17869,K22405",Reviewed by JG
1.6.5.10;1.6.5.2,R07359,https://www.genome.jp/entry/R07359,"K03923,K00355,K03809,K19267,K23842",2,5,"K03923,K00355,K03809,K19267,K23842",Reviewed by JG
1.6.5.2;1.6.5.9,R07358,https://www.genome.jp/entry/R07358,"K00355,K03809,K19267,K23842,K17871,K23948",2,6,"K00355,K03809,K19267,K23842,K17871,K23948",Reviewed by JG
1.6.5.5,R02364,https://www.genome.jp/entry/R02364,"K00344,K00359",1,2,"K00344,K00359",Reviewed by JG
1.6.5.9,R02163,https://www.genome.jp/entry/R02163,"K17871,K23948",1,2,"K17871,K23948",Reviewed by JG
1.7.2.1,R00280,https://www.genome.jp/entry/R00280,"K00368,K15864",1,2,"K00368,K15864",Reviewed by JG
1.7.2.1,R00784,https://www.genome.jp/entry/R00784,"K00368,K15864",1,2,"K00368,K15864",Reviewed by JG
1.7.2.1;7.1.1.9,R00082,https://www.genome.jp/entry/R00082,"K00368,K15864,K00404,K02256,K02274,K02275,K02276,K02277,K15408,K15862",2,10,"K00404,K02256,K02274+K02275+K02276+K02277,K15408+K15862",Reviewed by SM with Ecode mapping identifying E5038 as the 
1.7.99.1,R00284,https://www.genome.jp/entry/R00284,"K05601,K15864",1,2,"K05601,K15864",Reviewed by JG
1.8.1.10;1.8.1.9,R00900,https://www.genome.jp/entry/R00900,"K00384,K22182",2,2,"K00384,K22182",Reviewed by JG
